"Member States";"Code";"Super-reduced Rate";"Reduced Rates";"Reduced Rates1";"Reduced Rates2";"Standard Rate"
"Belgium";"BE";"-";"6 / 12";6;12;21
"Bulgaria";"BG";"-";9;9;;20
"Czech Republic";"CZ";"-";"10 / 15";10;15;21
"Denmark";"DK";"-";"-";"-";"-";25
"Germany";"DE";"-";7;7;"-";19
"Estonia";"EE";"-";9;9;"-";20
"Ireland";"IE";"4.8";"9 / 13.5";9;13.5;23
"Greece";"EL";"-";"6 / 13";6;13;24
"Spain";"ES";4;10;10;"-";21
"France";"FR";"2.1";"5.5 / 10";5.5;10;20
"Croatia";"HR";"-";"5 / 13";5;13;25
"Italy";"IT";4;"5 / 10";5;10;22
"Cyprus";"CY";"-";"5 / 9";5;9;19
"Latvia";"LV";"-";" 5  / 12";5;12;21
"Lithuania";"LT";"-";"5 / 9";5;9;21
"Luxembourg";"LU";3;8;8;"-";17
"Hungary";"HU";"-";"5 / 18";5;18;27
"Malta";"MT";"-";"5 / 7";5;7;18
"Netherlands";"NL";"-";9;9;"-";21
"Austria";"AT";"-";"10 / 13";10;13;20
"Poland";"PL";"-";"5 / 8";5;8;23
"Portugal";"PT";"-";"6 / 13";6;13;23
"Romania";"RO";"-";"5 / 9";5;9;19
"Slovenia";"SI";"-";"5 / 9.5";5;9.5;22
"Slovakia";"SK";"-";10;10;"-";20
"Finland";"FI";"-";"10 /14";10;14;24
"Sweden";"SE";"-";"6 / 12";6;12;25
